0,1,20,34,9,22,8,21,28,16,41,15,19,30,23,38,7,25,31,26,29,18,32,3,4,37,6,13,39,11,33,36,5,17,24,14,40,10,27,35,2,12
1,8,16,41,0,34,30,22,32,7,9,18,28,3,21,20,11,13,33,4,6,38,25,15,19,23,35,24,17,31,29,10,26,37,39,40,12,27,36,5,14,2
2,14,5,36,27,12,40,39,26,37,10,29,17,31,35,24,19,23,25,15,6,38,33,4,13,11,21,20,28,3,18,9,7,32,22,30,34,0,41,16,8,1
3,33,32,6,16,30,11,41,40,34,25,18,35,1,17,21,13,10,7,8,12,0,14,37,9,23,24,28,2,20,29,4,27,22,36,19,39,5,38,26,15,31
4,24,28,13,7,39,38,18,31,10,8,27,22,11,41,5,15,35,32,12,1,2,0,26,20,33,16,36,19,40,34,14,9,3,29,6,30,37,23,17,21,25
5,2,31,36,26,39,27,29,24,14,12,15,38,37,19,10,4,23,17,40,20,35,22,28,13,25,9,11,7,6,33,0,8,21,18,34,30,32,41,3,1,16
6,17,3,40,30,33,25,21,35,14,16,32,37,34,12,11,23,18,29,10,9,36,41,1,2,19,13,27,0,7,26,5,8,20,24,4,15,39,22,31,28,38
7,18,28,13,4,41,8,24,1,11,32,38,22,10,16,39,0,35,33,3,27,34,31,15,20,12,30,5,9,40,6,26,19,2,21,14,36,25,23,17,29,37
8,1,28,41,7,22,0,18,20,16,34,4,38,32,13,9,15,11,3,30,24,21,39,31,19,33,10,23,26,6,25,27,5,35,29,12,40,37,36,17,2,14
9,21,20,19,23,0,34,29,1,15,25,30,22,37,26,16,8,31,17,36,38,6,41,28,3,5,14,32,7,39,40,33,4,2,18,12,27,11,13,35,24,10
10,24,35,11,13,12,27,18,2,4,33,40,39,7,32,5,14,28,3,41,38,6,36,17,31,8,16,26,37,30,22,15,25,1,29,0,34,19,23,20,21,9
11,18,35,13,32,10,33,24,3,7,41,12,40,4,16,27,6,28,8,1,39,30,2,14,17,38,34,5,25,22,0,36,37,31,21,15,9,26,23,20,29,19
12,2,35,27,10,40,14,24,17,5,36,33,11,39,13,6,37,4,3,32,18,29,26,31,25,7,38,23,30,19,15,41,16,28,21,8,22,9,34,20,1,0
13,18,24,11,7,10,4,35,28,32,41,27,39,33,8,12,38,3,16,1,40,22,2,5,31,6,0,14,15,30,34,36,26,17,20,25,9,37,19,21,29,23
14,2,17,36,37,40,12,29,35,5,27,25,6,26,23,10,33,19,31,39,21,24,30,3,11,15,9,13,32,38,4,34,16,20,18,0,22,7,41,28,1,8
15,20,31,19,26,22,38,29,28,9,5,0,39,23,36,8,4,21,37,34,2,1,27,7,24,25,14,41,13,30,12,16,10,17,18,6,40,32,11,3,35,33
16,1,3,41,32,30,34,18,21,8,0,33,6,7,11,9,25,13,28,22,35,20,40,17,23,4,10,19,37,38,15,12,14,24,29,27,39,26,36,31,2,5
17,25,37,6,14,40,23,36,30,12,33,29,21,2,3,35,19,9,26,5,34,27,16,32,10,11,20,31,1,24,18,15,0,39,41,13,22,8,38,7,4,28
18,7,32,13,11,41,33,4,8,16,10,28,3,24,35,1,12,0,34,27,38,6,40,39,22,30,2,21,20,17,31,9,14,5,15,25,36,19,23,26,37,29
19,29,20,23,26,9,15,21,31,37,36,0,22,25,5,34,38,17,14,2,30,39,1,8,28,6,27,16,4,40,12,41,7,3,24,33,10,32,13,35,18,11
20,9,15,19,0,22,23,34,26,38,8,21,29,31,1,28,25,37,36,30,5,16,39,41,7,4,17,2,3,18,24,14,6,32,27,13,40,12,11,33,10,35
21,9,25,23,34,30,19,0,37,6,16,20,29,17,1,3,15,26,36,22,14,8,40,41,32,33,31,2,28,18,35,5,38,7,12,11,39,27,13,4,10,24
22,20,28,38,0,15,8,31,1,9,19,7,4,34,41,39,26,21,23,16,29,18,5,13,24,32,30,36,27,25,37,11,10,2,3,14,33,12,6,17,35,40
23,29,21,19,37,9,25,20,17,26,36,34,30,15,14,0,6,31,5,2,22,40,1,16,3,38,12,8,33,39,27,41,32,28,35,4,10,7,11,24,18,13
24,10,4,13,27,39,11,12,7,38,5,35,18,28,2,31,33,32,41,40,8,14,22,36,26,15,3,1,17,29,20,16,6,37,0,19,30,34,23,25,9,21
25,21,17,23,37,30,6,29,3,9,14,34,40,19,36,16,33,20,26,0,2,1,12,32,35,15,5,41,11,22,27,8,10,31,18,38,39,7,13,28,24,4
26,29,31,19,15,36,5,20,2,23,37,38,39,9,14,22,27,21,25,17,0,12,28,4,24,34,40,8,10,30,6,7,13,1,35,16,41,33,11,3,18,32
27,2,24,12,10,39,5,35,31,14,36,4,13,40,11,38,26,33,28,7,18,29,37,17,15,32,6,19,22,23,25,41,8,3,20,16,30,9,0,21,1,34
28,4,7,38,8,22,13,41,39,0,15,18,24,1,31,20,11,10,32,16,27,34,5,26,9,19,35,3,2,21,29,33,12,30,36,23,40,14,6,37,25,17
29,26,37,19,23,36,15,25,5,14,9,31,17,21,20,2,12,0,34,27,38,6,30,40,39,22,1,35,24,28,3,10,8,16,33,4,41,11,13,7,32,18
30,21,3,6,34,25,16,17,1,9,23,32,33,0,41,40,37,20,19,8,18,29,14,11,35,7,22,36,12,15,26,13,10,2,28,5,4,27,38,31,24,39
31,15,26,38,5,39,19,36,22,27,4,29,20,2,28,24,23,9,37,14,0,12,8,7,10,13,21,17,1,35,18,25,34,40,41,11,30,16,6,32,33,3
32,18,3,11,33,41,16,35,1,13,7,6,30,10,8,40,34,24,4,28,12,0,17,25,21,27,22,14,9,39,38,37,23,2,20,5,36,15,19,31,29,26
33,35,3,11,32,40,6,18,17,10,16,12,30,13,41,14,25,24,7,27,1,2,34,37,21,4,8,36,23,39,0,5,9,28,29,38,22,26,19,31,20,15
34,1,21,0,9,30,16,20,3,8,41,25,23,22,19,6,32,15,17,37,29,18,7,28,33,26,38,11,40,13,4,36,14,31,35,5,39,10,12,24,2,27
35,10,33,11,12,40,13,27,32,6,14,24,18,3,2,17,4,7,41,39,16,5,30,36,37,25,28,1,31,29,21,8,38,26,34,23,22,0,19,15,9,20
36,29,2,14,5,26,37,17,31,23,19,12,27,25,15,39,40,9,21,20,6,38,24,35,10,30,22,33,4,0,34,11,13,28,3,7,32,16,8,1,18,41
37,29,17,23,25,36,14,21,2,19,26,6,40,9,5,30,12,20,15,31,34,27,3,33,35,0,39,16,10,22,38,32,11,1,24,8,41,4,13,28,18,7
38,31,28,39,22,4,15,20,24,8,5,7,26,27,0,19,13,18,29,10,9,36,41,2,1,23,11,12,34,32,37,16,14,21,35,25,33,40,30,3,17,6
39,24,31,38,27,4,5,28,2,10,13,26,15,12,36,22,7,35,11,14,18,29,8,19,20,37,40,41,0,33,32,23,9,1,17,16,25,34,6,3,21,30
40,35,17,6,12,33,14,3,2,10,11,37,25,27,36,30,32,24,13,5,18,29,16,23,21,26,39,41,34,4,7,19,9,1,31,8,15,0,38,28,20,22
41,18,1,16,8,32,7,3,28,11,13,0,34,33,4,22,30,10,24,35,6,38,21,20,9,40,39,25,15,12,27,23,19,17,31,37,26,5,14,2,29,36
